代號,產業別,名稱,發行張數
1101,水泥工業,台泥,5740240
1102,水泥工業,亞泥,3361447
1103,水泥工業,嘉泥,774780
1104,水泥工業,環泥,653609
1108,水泥工業,幸福,404738
1109,水泥工業,信大,341957
1110,水泥工業,東泥,572000
1201,食品工業,味全,506062
1203,食品工業,味王,240000
1210,食品工業,大成,827339
1213,食品工業,大飲,56622
1215,食品工業,卜蜂,267990
1216,食品工業,統一,5682015
1217,食品工業,愛之味,494513
1218,食品工業,泰山,499999
1219,食品工業,福壽,322013
1220,食品工業,台榮,177077
1225,食品工業,福懋油,218703
1227,食品工業,佳格,915089
1229,食品工業,聯華,1281498
1231,食品工業,聯華食,183325
1232,食品工業,大統益,159974
1233,食品工業,天仁,90591
1234,食品工業,黑松,401871
1235,食品工業,興泰,98955
1236,食品工業,宏亞,108342
1256,食品工業,鮮活果汁-KY,33842
1301,塑膠工業,台塑,6365740
1303,塑膠工業,南亞,7930821
1304,塑膠工業,台聚,1188763
1305,塑膠工業,華夏,553381
1307,塑膠工業,三芳,397818
1308,塑膠工業,亞聚,582101
1309,塑膠工業,台達化,344231
1310,塑膠工業,台苯,527869
1312,塑膠工業,國喬,906620
1313,塑膠工業,聯成化,1332347
1314,塑膠工業,中石化,3284850
1315,塑膠工業,達新,138600
1316,建材營造業,上曜,184677
1319,汽車工業,東陽,591477
1321,塑膠工業,大洋,227228
1323,塑膠工業,永裕,91274
1324,塑膠工業,地球,75121
1325,塑膠工業,恆大,85281
1326,塑膠工業,台化,5861186
1337,塑膠工業,再生-KY,268954
1338,汽車工業,廣華-KY,83840
1339,汽車工業,昭輝,74138
1340,塑膠工業,勝悅-KY,152922
1341,塑膠工業,富林-KY,49400
1402,紡織纖維,遠東新,5352875
1409,紡織纖維,新纖,1618409
1410,紡織纖維,南染,63000
1413,紡織纖維,宏洲,102112
1414,紡織纖維,東和紡,220000
1416,其他業,廣豐,185342
1417,紡織纖維,嘉裕,189941
1418,紡織纖維,東華,46834
1419,紡織纖維,新光紡,300041
1423,紡織纖維,利華,138400
1432,貿易百貨業,大魯閣,75000
1434,紡織纖維,福懋興,1684664
1435,其他業,中福,139780
1436,建材營造業,福益,95634
1437,其他業,勤益,203371
1438,建材營造業,裕豐,102411
1439,紡織纖維,中和,92000
1440,紡織纖維,南紡,1656815
1441,紡織纖維,大東,100800
1442,建材營造業,名軒,309117
1443,紡織纖維,立益,135343
1444,紡織纖維,力麗,957302
1445,紡織纖維,大宇,130666
1446,紡織纖維,宏和,137709
1447,紡織纖維,力鵬,914487
1449,紡織纖維,佳和,180030
1451,紡織纖維,年興,198000
1452,紡織纖維,宏益纖,132641
1453,紡織纖維,大將,100614
1454,紡織纖維,台富,129833
1455,紡織纖維,集盛,578000
1456,紡織纖維,怡華,93720
1457,紡織纖維,宜進實,301647
1459,紡織纖維,聯發,358628
1460,紡織纖維,宏遠興,509834
1463,紡織纖維,強盛,173268
1464,紡織纖維,得力,384565
1465,紡織纖維,偉全,103607
1466,紡織纖維,聚隆,111157
1467,紡織纖維,南緯,168209
1468,紡織纖維,昶和纖,160405
1470,紡織纖維,大統新創,85767
1471,電子零組件業,首利,145414
1472,紡織纖維,三洋紡,46052
1473,紡織纖維,台南,147153
1474,紡織纖維,弘裕,129896
1475,紡織纖維,本盟,16016
1476,紡織纖維,儒鴻,274367
1477,紡織纖維,聚陽,219856
1503,電機機械,士電,520972
1504,電機機械,東元,1967692
1506,電機機械,正道,163161
1507,電機機械,永大,410820
1512,汽車工業,瑞利,181802
1513,電機機械,中興電,420000
1514,電機機械,亞力,217453
1515,電機機械,力山,181473
1516,其他業,川飛,34394
1517,電機機械,利奇,227825
1519,電機機械,華城,261058
1521,汽車工業,大億,76230
1522,汽車工業,堤維西,312897
1524,汽車工業,耿鼎,179685
1525,汽車工業,江申,73400
1526,電機機械,日馳,60000
1527,電機機械,鑽全,138570
1528,電機機械,恩德,199331
1529,電機機械,樂士,95967
1530,電機機械,亞崴,96594
1531,電機機械,高林股,183608
1532,電機機械,勤美,376122
1533,汽車工業,車王電,98547
1535,電機機械,中宇,123742
1536,汽車工業,和大,254517
1537,電機機械,廣隆,81785
1538,電機機械,正峰新,56135
1539,電機機械,巨庭,65370
1540,電機機械,喬福,85473
1541,電機機械,錩泰,78800
1560,電機機械,中砂,141000
1568,汽車工業,倉佑,103086
1582,電子零組件業,信錦,123724
1583,電機機械,程泰,110400
1587,汽車工業,吉茂,65356
1589,電機機械,永冠-KY,110617
1590,電機機械,亞德客-KY,189024
1592,汽車工業,英瑞-KY,110978
1598,生技醫療業,岱宇,120982
1603,電器電纜,華電,191688
1604,電器電纜,聲寶,387200
1605,電器電纜,華新麗華,3286000
1608,電器電纜,華榮,632773
1609,電器電纜,大亞,595068
1611,電器電纜,中電,322735
1612,電器電纜,宏泰,316080
1614,電器電纜,三洋電,269113
1615,電器電纜,大山,123047
1616,電器電纜,億泰,194148
1617,電器電纜,榮星,144233
1618,電器電纜,合機,240864
1626,電器電纜,艾美特-KY,139587
1701,生技醫療業,中化,298081
1702,食品工業,南僑,294132
1707,生技醫療業,葡萄王,136286
1708,化學工業,東鹼,228441
1709,化學工業,和益,477016
1710,化學工業,東聯,885703
1711,化學工業,永光,547752
1712,化學工業,興農,420492
1713,化學工業,國化,150951
1714,化學工業,和桐,1016824
1717,化學工業,長興,1240279
1718,化學工業,中纖,1621367
1720,生技醫療業,生達,178696
1721,化學工業,三晃,217347
1722,化學工業,台肥,980000
1723,化學工業,中碳,236904
1724,化學工業,台硝,127813
1725,化學工業,元禎,181829
1726,化學工業,永記,162000
1727,化學工業,中華化,110250
1730,化學工業,花仙子,63233
1731,生技醫療業,美吾華,132915
1732,化學工業,毛寶,42443
1733,生技醫療業,五鼎,99950
1734,生技醫療業,杏輝,167722
1735,化學工業,日勝化,99388
1736,生技醫療業,喬山,303616
1737,食品工業,台鹽,200000
1760,生技醫療業,寶齡,76739
1762,生技醫療業,中化合成,77560
1773,化學工業,勝一,180000
1776,化學工業,展宇,70360
1783,生技醫療業,和康生,69465
1786,生技醫療業,科妍,61005
1789,生技醫療業,神隆,790739
1802,玻璃陶瓷,台玻,2908060
1805,建材營造業,寶徠,80265
1806,玻璃陶瓷,冠軍,433782
1808,建材營造業,潤隆,369996
1809,玻璃陶瓷,中釉,167041
1810,玻璃陶瓷,和成,369853
1817,玻璃陶瓷,凱撒衛,72600
1903,造紙工業,士紙,260039
1904,造紙工業,正隆,1108274
1905,造紙工業,華紙,1102835
1906,造紙工業,寶隆,151000
1907,造紙工業,永豐餘,1660371
1909,造紙工業,榮成,1217685
2002,鋼鐵工業,中鋼,15734860
2006,鋼鐵工業,東和鋼,1004060
2007,鋼鐵工業,燁興,530651
2008,鋼鐵工業,高興昌,200852
2009,鋼鐵工業,第一銅,359622
2010,鋼鐵工業,春源,647655
2012,鋼鐵工業,春雨,287774
2013,鋼鐵工業,中鋼構,200000
2014,鋼鐵工業,中鴻,1435544
2015,鋼鐵工業,豐興鋼,581599
2017,鋼鐵工業,官田鋼,341867
2020,鋼鐵工業,美亞鋼,222526
2022,鋼鐵工業,聚亨,479751
2023,鋼鐵工業,燁輝,1890569
2024,鋼鐵工業,志聯,97500
2025,鋼鐵工業,千興,281167
2027,鋼鐵工業,大成鋼,1658465
2028,鋼鐵工業,威致,325714
2029,鋼鐵工業,盛餘,321180
2030,鋼鐵工業,彰源,280526
2031,鋼鐵工業,新光鋼,307187
2032,鋼鐵工業,新鋼,130521
2033,鋼鐵工業,佳大,80694
2034,鋼鐵工業,允強,407130
2038,鋼鐵工業,海光,181264
2049,電機機械,上銀科,318866
2059,電子零組件業,川湖,95297
2062,其他業,橋椿,163014
2069,鋼鐵工業,運錩,156386
2101,橡膠工業,南港,833934
2102,橡膠工業,泰豐,473329
2103,橡膠工業,台橡,825709
2104,橡膠工業,中橡,984733
2105,橡膠工業,正新,3241415
2106,橡膠工業,建大,909410
2107,橡膠工業,厚生,342326
2108,橡膠工業,南帝,492416
2109,橡膠工業,華豐,332349
2114,橡膠工業,鑫永銓,70901
2115,汽車工業,六暉-KY,90366
2201,汽車工業,裕隆,1572919
2204,汽車工業,中華,553620
2206,汽車工業,三陽,804982
2207,汽車工業,和泰車,546179
2208,航運業,台船,472991
2227,汽車工業,裕日車,300000
2228,汽車工業,劍麟,75780
2231,汽車工業,為升,121916
2236,汽車工業,百達-KY,44826
2239,汽車工業,英利-KY,118007
2241,電機機械,艾姆勒,84787
2243,汽車工業,宏旭-KY,45718
2247,汽車工業,汎德永業,80700
2301,電腦及週邊設備業,光寶科,2350867
2302,半導體業,麗正,166302
2303,半導體業,聯電,12222371
2305,電腦及週邊設備業,全友,205660
2308,電子零組件業,台達電,2597543
2312,其他電子業,金寶,1466504
2313,電子零組件業,華通,1191820
2314,通信網路業,台揚,228028
2316,電子零組件業,楠梓電,182740
2317,其他電子業,鴻海,13862990
2321,通信網路業,東訊,148665
2323,光電業,中環,1158881
2324,電腦及週邊設備業,仁寶,4407146
2327,電子零組件業,國巨,495875
2328,電子零組件業,廣宇,518346
2329,半導體業,華泰電,557114
2330,半導體業,台積電,25930380
2331,電腦及週邊設備業,精英,557402
2332,通信網路業,友訊,651996
2337,半導體業,旺宏,1856301
2338,半導體業,光罩,252713
2340,光電業,光磊,378622
2342,半導體業,茂矽,156186
2344,半導體業,華邦電,3980000
2345,通信網路業,智邦,559377
2347,電子通路業,聯強,1667946
2348,其他業,海悅,90956
2349,光電業,錸德,1284157
2351,半導體業,順德,182140
2352,電腦及週邊設備業,佳世達,1966781
2353,電腦及週邊設備業,宏碁,3047853
2354,其他電子業,鴻準,1414485
2355,電子零組件業,敬鵬,397495
2356,電腦及週邊設備業,英業達,3587475
2357,電腦及週邊設備業,華碩,742760
2358,其他業,廷鑫,79616
2359,其他電子業,所羅門,171471
2360,其他電子業,致茂,420748
2362,電腦及週邊設備業,藍天,669763
2363,半導體業,矽統,630967
2364,電腦及週邊設備業,倫飛,90924
2365,電腦及週邊設備業,昆盈,234538
2367,電子零組件業,燿華,619407
2368,電子零組件業,金像,546487
2369,半導體業,菱生,380102
2371,電機機械,大同,2339536
2373,其他電子業,震旦行,236202
2374,光電業,佳能,282362
2375,電子零組件業,智寶,135844
2376,電腦及週邊設備業,技嘉,635688
2377,電腦及週邊設備業,微星,844856
2379,半導體業,瑞昱,510684
2380,電腦及週邊設備業,虹光,162444
2382,電腦及週邊設備業,廣達,3862627
2383,電子零組件業,台光電,324868
2385,電子零組件業,群光,739460
2387,電腦及週邊設備業,精元,196297
2388,半導體業,威盛,493303
2390,其他電子業,云辰,214021
2392,電子零組件業,正崴,512326
2393,光電業,億光,443393
2395,電腦及週邊設備業,研華,771411
2397,電腦及週邊設備業,友通,114688
2399,電腦及週邊設備業,映泰,178100
2401,半導體業,凌陽,591994
2402,電子零組件業,毅嘉,307536
2404,其他電子業,漢唐,190586
2405,電腦及週邊設備業,浩鑫,343427
2406,光電業,國碩,285905
2408,半導體業,南亞科,3092611
2409,光電業,友達,9624245
2412,通信網路業,中華電,7757446
2413,電子零組件業,環科,127359
2414,電子通路業,精技,161735
2415,電子零組件業,錩新,80000
2417,電腦及週邊設備業,圓剛,192892
2419,通信網路業,仲琦,228986
2420,電子零組件業,新巨,152648
2421,電子零組件業,建準,250929
2423,其他電子業,固緯,145047
2424,電腦及週邊設備業,隴華,30000
2425,電腦及週邊設備業,承啟,101498
2426,光電業,鼎元,300622
2427,資訊服務業,三商電,184314
2428,電子零組件業,興勤,128112
2429,電子零組件業,銘旺科,27011
2430,電子通路業,燦坤,166468
2431,電子零組件業,聯昌,110927
2433,其他電子業,互盛電,144496
2434,半導體業,統懋,17000
2436,半導體業,偉詮,178009
2438,光電業,翔耀,95215
2439,通信網路業,美律,208938
2440,電子零組件業,太空梭,139117
2441,半導體業,超豐,568845
2442,電腦及週邊設備業,新美齊,266780
2443,其他業,億麗,145687
2444,通信網路業,友旺,105557
2448,光電業,晶電,1088701
2449,半導體業,京元電,1222745
2450,通信網路業,神腦,258252
2451,半導體業,創見,429061
2453,資訊服務業,凌群,100000
2454,半導體業,聯發科,1588766
2455,通信網路業,全新,184905
2456,電子零組件業,奇力新,256548
2457,電子零組件業,飛宏,337688
2458,半導體業,義隆電,303880
2459,電子通路業,敦吉,105595
2460,電子零組件業,建通,169200
2461,其他電子業,光群雷,159324
2462,電子零組件業,良得,113934
2464,其他電子業,盟立,195531
2465,電腦及週邊設備業,麗台,53587
2466,光電業,冠西電,156334
2467,電子零組件業,志聖,149205
2468,資訊服務業,華經,69961
2471,資訊服務業,資通,47253
2472,電子零組件業,立隆,129219
2474,其他電子業,可成,761618
2476,電子零組件業,鉅祥,184968
2477,其他電子業,美隆電,198216
2478,電子零組件業,大毅,144767
2480,資訊服務業,敦陽科,106360
2481,半導體業,強茂,332814
2482,其他電子業,連宇,62072
2483,電子零組件業,百容,110618
2484,電子零組件業,希華,159421
2485,通信網路業,兆赫,317689
2486,光電業,一詮,201958
2488,其他電子業,漢平,79999
2489,光電業,瑞軒,809362
2491,光電業,吉祥全,62000
2492,電子零組件業,華新科,485800
2493,電子零組件業,揚博,114437
2495,其他電子業,普安,273551
2496,其他業,卓越,19185
2497,汽車工業,怡利電,118798
2498,通信網路業,宏達電,818644
2501,建材營造業,國建,1159561
2504,建材營造業,國產,1378809
2505,建材營造業,國揚,696582
2506,建材營造業,太設,387000
2509,建材營造業,全坤興,224550
2511,建材營造業,太子,1623326
2514,其他業,龍邦,394729
2515,建材營造業,中工,1530899
2516,建材營造業,新建,226278
2520,建材營造業,冠德,503791
2524,建材營造業,京城,374846
2527,建材營造業,宏璟,270306
2528,建材營造業,皇普,182085
2530,建材營造業,華建,270752
2534,建材營造業,宏盛,592784
2535,建材營造業,達欣工,321185
2536,建材營造業,宏普,332808
2537,建材營造業,聯上發,300557
2538,建材營造業,基泰,438448
2539,建材營造業,櫻花建,556679
2540,建材營造業,金尚昌,146600
2542,建材營造業,興富發,1283291
2543,建材營造業,皇昌,241983
2545,建材營造業,皇翔,327734
2546,建材營造業,根基,106035
2547,建材營造業,日勝生,900094
2548,建材營造業,華固,276812
2597,建材營造業,潤弘,135000
2601,貿易百貨業,益航,630883
2603,航運業,長榮海,4812973
2605,航運業,新興,585353
2606,航運業,裕民,845055
2607,航運業,榮運,1067141
2608,航運業,大榮,467000
2609,航運業,陽明,2065271
2610,航運業,華航,5420984
2611,航運業,志信,172994
2612,航運業,中航,197484
2613,航運業,中櫃,148423
2614,貿易百貨業,東森,556789
2615,航運業,萬海,2218297
2616,油電燃氣業,山隆,137281
2617,航運業,台航,417294
2618,航運業,長榮航,4853569
2630,航運業,亞航,120120
2633,航運業,高鐵,2628293
2634,航運業,漢翔,941867
2636,航運業,台驊投控,117157
2637,航運業,慧洋-KY,746384
2642,航運業,宅配通,95467
2701,觀光事業,萬企,449967
2702,觀光事業,華園,110485
2704,觀光事業,國賓,366923
2705,觀光事業,六福,186536
2706,觀光事業,第一店,499998
2707,觀光事業,晶華,127401
2712,觀光事業,悅來,105000
2722,觀光事業,夏都,111522
2723,觀光事業,美食-KY,180000
2727,觀光事業,王品,76987
2731,觀光事業,雄獅,70000
2739,觀光事業,寒舍,111526
2748,觀光事業,雲品,75482
2801,銀行業,彰銀,10384723
2809,銀行業,京城銀,1121234
2812,銀行業,台中銀,3901694
2816,保險業,旺旺保,223608
2820,銀行業,華票,1342960
2823,保險業,中壽,4463582
2832,保險業,台產,362200
2834,銀行業,台企銀,7488583
2836,銀行業,高雄銀,1080916
2838,銀行業,聯邦銀,3086367
2841,建材營造業,台開,760943
2845,銀行業,遠東銀,3355819
2849,銀行業,安泰銀,1503206
2850,保險業,新產,315963
2851,保險業,中再保,590388
2852,保險業,第一產,301163
2855,證券業,統一證,1399837
